run_dir,method,ref_domain,target_domain,input_mode,val_acc,val_f1,test_acc,test_f1
runs_fixed_sub01/ivae_sub-01_to_sub-02_paper,iVAE_stable_reimplemented,sub-01,sub-02,latent,0.38,0.36917261183649663,0.24666666666666667,0.2435282459476008
runs_fixed_sub01/ivae_sub-01_to_sub-02_paper,iVAE_stable_reimplemented,sub-01,sub-02,raw_pca,0.3,0.300479302832244,0.23666666666666666,0.2369743511759935
runs_fixed_sub01/ivae_sub-01_to_sub-02_paper,iVAE_stable_reimplemented,sub-01,sub-02,raw_plus_latent,0.3,0.3015538508547627,0.26666666666666666,0.2651024201472742
runs_fixed_sub01/ivae_sub-01_to_sub-03_paper,iVAE_stable_reimplemented,sub-01,sub-03,latent,0.31,0.3110427724189335,0.3,0.2993151006082041
runs_fixed_sub01/ivae_sub-01_to_sub-03_paper,iVAE_stable_reimplemented,sub-01,sub-03,raw_pca,0.29,0.29435897435897435,0.26,0.25965439902608045
runs_fixed_sub01/ivae_sub-01_to_sub-03_paper,iVAE_stable_reimplemented,sub-01,sub-03,raw_plus_latent,0.4,0.39624001774622897,0.284,0.277158394066769
runs_fixed_sub01/ivae_sub-01_to_sub-04_paper,iVAE_stable_reimplemented,sub-01,sub-04,latent,0.3,0.2980693459416863,0.26,0.25961173850693586
runs_fixed_sub01/ivae_sub-01_to_sub-04_paper,iVAE_stable_reimplemented,sub-01,sub-04,raw_pca,0.32,0.31979837389501253,0.25666666666666665,0.2536164965361925
runs_fixed_sub01/ivae_sub-01_to_sub-04_paper,iVAE_stable_reimplemented,sub-01,sub-04,raw_plus_latent,0.39,0.3921018919984234,0.2633333333333333,0.2591236133609015
runs_fixed_sub01/ivae_sub-01_to_sub-05_paper,iVAE_stable_reimplemented,sub-01,sub-05,latent,0.24,0.2461904761904762,0.26666666666666666,0.2641895937050829
runs_fixed_sub01/ivae_sub-01_to_sub-05_paper,iVAE_stable_reimplemented,sub-01,sub-05,raw_pca,0.33,0.3304946986682601,0.30666666666666664,0.30561798269678264
runs_fixed_sub01/ivae_sub-01_to_sub-05_paper,iVAE_stable_reimplemented,sub-01,sub-05,raw_plus_latent,0.35,0.3494578173149602,0.2833333333333333,0.28213177249619426
runs_fixed_sub01/ivae_sub-01_to_sub-06_paper,iVAE_stable_reimplemented,sub-01,sub-06,latent,0.33,0.33389114938362546,0.2740740740740741,0.2635180951862586
runs_fixed_sub01/ivae_sub-01_to_sub-06_paper,iVAE_stable_reimplemented,sub-01,sub-06,raw_pca,0.35,0.35264214046822745,0.2851851851851852,0.28410803864877554
runs_fixed_sub01/ivae_sub-01_to_sub-06_paper,iVAE_stable_reimplemented,sub-01,sub-06,raw_plus_latent,0.3,0.30147157190635454,0.26666666666666666,0.25897504736001303
runs_fixed_sub01/ivae_sub-01_to_sub-07_paper,iVAE_stable_reimplemented,sub-01,sub-07,latent,0.29,0.2912655279503106,0.25,0.24368144387996818
runs_fixed_sub01/ivae_sub-01_to_sub-07_paper,iVAE_stable_reimplemented,sub-01,sub-07,raw_pca,0.31,0.3104696424024155,0.2733333333333333,0.2717996427863547
runs_fixed_sub01/ivae_sub-01_to_sub-07_paper,iVAE_stable_reimplemented,sub-01,sub-07,raw_plus_latent,0.31,0.31359738622553557,0.25,0.24866544931556397
runs_fixed_sub01/ivae_sub-01_to_sub-08_paper,iVAE_stable_reimplemented,sub-01,sub-08,latent,0.32,0.3192508984725966,0.276,0.25834811384079254
runs_fixed_sub01/ivae_sub-01_to_sub-08_paper,iVAE_stable_reimplemented,sub-01,sub-08,raw_pca,0.32,0.31609848484848485,0.292,0.29095334490071334
runs_fixed_sub01/ivae_sub-01_to_sub-08_paper,iVAE_stable_reimplemented,sub-01,sub-08,raw_plus_latent,0.32,0.31729202401372214,0.212,0.21129916176083965
runs_fixed_sub01/ivae_sub-01_to_sub-09_paper,iVAE_stable_reimplemented,sub-01,sub-09,latent,0.35,0.34636752136752136,0.24666666666666667,0.2449632884627081
runs_fixed_sub01/ivae_sub-01_to_sub-09_paper,iVAE_stable_reimplemented,sub-01,sub-09,raw_pca,0.33,0.32960602704788755,0.26,0.2574124375985968
runs_fixed_sub01/ivae_sub-01_to_sub-09_paper,iVAE_stable_reimplemented,sub-01,sub-09,raw_plus_latent,0.33,0.3257838767690984,0.23333333333333334,0.23275730124336771
runs_fixed_sub01/ivae_sub-01_to_sub-10_paper,iVAE_stable_reimplemented,sub-01,sub-10,latent,0.28,0.2799687229035055,0.24666666666666667,0.24905775844742983
runs_fixed_sub01/ivae_sub-01_to_sub-10_paper,iVAE_stable_reimplemented,sub-01,sub-10,raw_pca,0.36,0.35961618690029207,0.21333333333333335,0.20715753600887948
runs_fixed_sub01/ivae_sub-01_to_sub-10_paper,iVAE_stable_reimplemented,sub-01,sub-10,raw_plus_latent,0.35,0.35046418567426973,0.24,0.2364708440550372
runs_fixed_sub01/tcl_sub-01_to_sub-02_paper,TCL_pytorch_period_discrimination,sub-01,sub-02,latent,0.34,0.34127308861351413,0.24666666666666667,0.23638766790898946
runs_fixed_sub01/tcl_sub-01_to_sub-02_paper,TCL_pytorch_period_discrimination,sub-01,sub-02,raw_pca,0.3,0.300479302832244,0.23666666666666666,0.2369743511759935
runs_fixed_sub01/tcl_sub-01_to_sub-02_paper,TCL_pytorch_period_discrimination,sub-01,sub-02,raw_plus_latent,0.32,0.3153244733908349,0.24666666666666667,0.2471180510463174
runs_fixed_sub01/tcl_sub-01_to_sub-03_paper,TCL_pytorch_period_discrimination,sub-01,sub-03,latent,0.38,0.37543720789989443,0.316,0.3170494550080215
runs_fixed_sub01/tcl_sub-01_to_sub-03_paper,TCL_pytorch_period_discrimination,sub-01,sub-03,raw_pca,0.29,0.29435897435897435,0.26,0.25965439902608045
runs_fixed_sub01/tcl_sub-01_to_sub-03_paper,TCL_pytorch_period_discrimination,sub-01,sub-03,raw_plus_latent,0.37,0.3749779757859498,0.308,0.30476264426367905
runs_fixed_sub01/tcl_sub-01_to_sub-04_paper,TCL_pytorch_period_discrimination,sub-01,sub-04,latent,0.31,0.30325208882644805,0.31,0.28819877745667843
runs_fixed_sub01/tcl_sub-01_to_sub-04_paper,TCL_pytorch_period_discrimination,sub-01,sub-04,raw_pca,0.32,0.31979837389501253,0.25666666666666665,0.2536164965361925
runs_fixed_sub01/tcl_sub-01_to_sub-04_paper,TCL_pytorch_period_discrimination,sub-01,sub-04,raw_plus_latent,0.4,0.40630154646736694,0.23,0.22350799845541897
runs_fixed_sub01/tcl_sub-01_to_sub-05_paper,TCL_pytorch_period_discrimination,sub-01,sub-05,latent,0.29,0.28914027149321264,0.29333333333333333,0.29053517236376064
runs_fixed_sub01/tcl_sub-01_to_sub-05_paper,TCL_pytorch_period_discrimination,sub-01,sub-05,raw_pca,0.33,0.3304946986682601,0.30666666666666664,0.30561798269678264
runs_fixed_sub01/tcl_sub-01_to_sub-05_paper,TCL_pytorch_period_discrimination,sub-01,sub-05,raw_plus_latent,0.32,0.3156884552615887,0.29,0.2904120991452326
runs_fixed_sub01/tcl_sub-01_to_sub-06_paper,TCL_pytorch_period_discrimination,sub-01,sub-06,latent,0.4,0.4002219755826859,0.26666666666666666,0.26592899621537863
runs_fixed_sub01/tcl_sub-01_to_sub-06_paper,TCL_pytorch_period_discrimination,sub-01,sub-06,raw_pca,0.35,0.35264214046822745,0.2851851851851852,0.28410803864877554
runs_fixed_sub01/tcl_sub-01_to_sub-06_paper,TCL_pytorch_period_discrimination,sub-01,sub-06,raw_plus_latent,0.31,0.3125989942187376,0.26666666666666666,0.26267186324112324
runs_fixed_sub01/tcl_sub-01_to_sub-07_paper,TCL_pytorch_period_discrimination,sub-01,sub-07,latent,0.36,0.35816608506087233,0.24666666666666667,0.24653288457891223
runs_fixed_sub01/tcl_sub-01_to_sub-07_paper,TCL_pytorch_period_discrimination,sub-01,sub-07,raw_pca,0.31,0.3104696424024155,0.2733333333333333,0.2717996427863547
runs_fixed_sub01/tcl_sub-01_to_sub-07_paper,TCL_pytorch_period_discrimination,sub-01,sub-07,raw_plus_latent,0.33,0.3276756322761943,0.25,0.2500144592249855
runs_fixed_sub01/tcl_sub-01_to_sub-08_paper,TCL_pytorch_period_discrimination,sub-01,sub-08,latent,0.34,0.3399362286459061,0.24,0.2327778526568307
runs_fixed_sub01/tcl_sub-01_to_sub-08_paper,TCL_pytorch_period_discrimination,sub-01,sub-08,raw_pca,0.32,0.31609848484848485,0.292,0.29095334490071334
runs_fixed_sub01/tcl_sub-01_to_sub-08_paper,TCL_pytorch_period_discrimination,sub-01,sub-08,raw_plus_latent,0.35,0.34724988410518043,0.236,0.23619382027384536
runs_fixed_sub01/tcl_sub-01_to_sub-09_paper,TCL_pytorch_period_discrimination,sub-01,sub-09,latent,0.3,0.30671296296296297,0.26666666666666666,0.26450688609856804
runs_fixed_sub01/tcl_sub-01_to_sub-09_paper,TCL_pytorch_period_discrimination,sub-01,sub-09,raw_pca,0.33,0.32960602704788755,0.26,0.2574124375985968
runs_fixed_sub01/tcl_sub-01_to_sub-09_paper,TCL_pytorch_period_discrimination,sub-01,sub-09,raw_plus_latent,0.32,0.3145352900069881,0.24333333333333335,0.24352966514211388
runs_fixed_sub01/tcl_sub-01_to_sub-10_paper,TCL_pytorch_period_discrimination,sub-01,sub-10,latent,0.24,0.23951261882932007,0.22666666666666666,0.225461700924266
runs_fixed_sub01/tcl_sub-01_to_sub-10_paper,TCL_pytorch_period_discrimination,sub-01,sub-10,raw_pca,0.36,0.35961618690029207,0.21333333333333335,0.20715753600887948
runs_fixed_sub01/tcl_sub-01_to_sub-10_paper,TCL_pytorch_period_discrimination,sub-01,sub-10,raw_plus_latent,0.34,0.34130036630036625,0.26,0.25538768433148584
